,Ene/2018,Feb/2018,Mar/2018,Abr/2018,May/2018,Jun/2018,Jul/2018,Ago/2018,Sep/2018,Oct/2018,Nov/2018,Dic/2018,Ene/2019,Feb/2019,Mar/2019,Abr/2019,May/2019,Jun/2019,Jul/2019,Ago/2019,Sep/2019,Oct/2019,Nov/2019,Dic/2019,Ene/2020,Feb/2020,Mar/2020,Abr/2020,May/2020,Jun/2020,Jul/2020,Ago/2020,Sep/2020,Oct/2020,Nov/2020,Dic/2020,Ene/2021,Feb/2021,Mar/2021,Abr/2021,May/2021,Jun/2021,Jul/2021,Ago/2021,Sep/2021,Oct/2021,Nov/2021,Dic/2021,Ene/2022,Feb/2022,Mar/2022,Abr/2022,May/2022,Jun/2022,Jul/2022,Ago/2022,Sep/2022,Oct/2022,Nov/2022,Dic/2022,Ene/2023,Feb/2023,Mar/2023,Abr/2023,May/2023,Jun/2023,Jul/2023,Ago/2023,Sep/2023,Oct/2023,Nov/2023,Dic/2023,Ene/2024,Feb/2024,Mar/2024,Abr/2024,May/2024,Jun/2024,Jul/2024,Ago/2024,Sep/2024,Oct/2024,Nov/2024,Dic/2024,Ene/2025,Feb/2025,Mar/2025,Abr/2025,May/2025,Jun/2025,Jul/2025
Producción Petroleo crudo,1932.138755,1897.854808,1866.800446,1888.284508,1869.83852,1848.281933,1842.677456,1818.463822,1826.974557,1766.987331,1716.910926,1728.875097,1641.514202,1721.767474,1709.954366,1694.374936,1682.542114,1692.131935,1696.555315,1707.656999,1730.346637,1680.752768,1721.728191,1732.24731,1748.840721,1754.622363,1771.341819,1746.743329,1676.61071,1654.733064,1647.332173,1687.866409,1697.837757,1680.210948,1688.845791,1711.492242,1712.650383,1731.804704,1758.926608,1751.265001,1755.117927,1767.527003,1772.336593,1728.773343,1782.402352,1771.125788,1771.410008,1772.710856,1783.022924,1763.607534,1777.266972,1766.812884,1775.345824,1787.224614,1796.506904,1779.753338,1776.757349,1790.763817,1798.17319,1817.446022,1870.246985,1869.243451,1878.209675,1904.166328,1904.42361,1898.692959,1855.239107,1878.519029,1879.248837,1863.001164,1857.245056,1846.959764,1829.318941,1819.398332,1810.523763,1784.129467,1785.295128,1781.529974,1772.174797,1769.592438,1748.997757,1717.852268,1673.381808,1618.689272,1616.929748,1620.537824,1607.164663,1627.346338,1635.611417,1629.144172,N/D
Producción Condensados y liquidos del gas,257.500128,253.803957,247.032629,258.538233,241.903436,244.339936,247.211781,236.373286,236.804993,221.486788,214.11905,198.717919,217.327181,221.089735,224.488233,220.701332,221.295265,216.979829,204.251182,218.441608,223.750286,219.180853,214.397112,221.785203,225.319559,221.528658,220.536739,207.83784,208.086496,212.084234,206.240513,214.243386,206.482309,188.882069,180.924267,183.769563,172.309857,179.115829,172.59158,174.687884,177.760193,171.056555,171.98962,158.894228,143.673047,164.179996,181.167544,160.905802,175.851632,161.494371,177.635508,155.462875,151.104973,140.28226,152.590034,170.430135,172.791246,160.602036,159.634367,132.164009,170.389675,164.010306,168.009648,178.117236,176.403258,167.52728,153.502599,147.052334,160.423314,160.366785,167.605621,163.419478,153.905109,154.787283,154.865677,148.478467,142.539345,141.737835,156.232547,154.852148,151.1703,139.296451,148.5802,147.342798,140.843632,146.368851,133.690419,122.094001,105.314544,118.018865,N/D
Producción Gas natural  (MMpcd),4910.064191,4852.609001,4645.570734,4868.900388,4827.468844,4840.414525,4855.875792,4897.558844,4913.11296,4895.254467,4776.133946,4880.600005,4648.323727,4869.145045,4856.64494,4816.265564,4840.677797,4842.747777,4891.880071,4938.778443,5016.628422,4970.743767,5014.952562,5024.479538,5004.855107,4941.777495,4946.334171,4826.709719,4459.815731,4753.708473,4902.355742,4919.639354,4926.075173,4928.144902,4768.613979,4845.7927,4848.055541,4854.306416,4839.141171,4670.981598,4730.289952,4726.737503,4724.712841,4656.476412,4746.475235,4718.116237,4751.223393,4697.060829,4712.86373,4646.317988,4766.219689,4739.866774,4701.527941,4743.951115,4815.415043,4795.569214,4798.226799,4795.026692,4844.875543,4844.545684,4955.215198,4979.437938,5034.674229,5094.967537,5034.39186,5034.982504,4935.871383,4946.940527,4969.179601,4950.140051,4887.590676,4786.210503,4779.868326,4777.121571,4768.333264,4500.279884,4487.791093,4606.010923,4566.234141,4533.819309,4515.048031,4503.443911,4431.546205,4400.263263,4367.58217,4424.960548,4434.085669,4499.75917,4543.34856,4549.587287,N/D
Producción Petroliferos y gas licuado (1),728.036874692424,643.842682211486,793.530529320372,937.599493017951,877.23606282449,778.482552952374,760.985852223583,788.155462009578,732.856146080868,598.044802454566,627.869630819628,614.956725131138,610.66333839361,716.271665,704.459672326915,717.761922458697,753.758542,786.001152,786.042982,809.014795,756.369958,667.231974,689.820462,714.781164,684.380372,575.226748,709.133075,770.742698,778.654857,745.906948,571.10684,661.960809,752.178397,679.926027,609.006954,755.122739,806.489871,813.270517,931.21283,719.157745,787.575498,730.825069,741.637241,790.230204,856.188932,838.163739,844.662885,812.768824,911.022205,968.25817,941.457437,997.149365,932.647616,728.790392,901.14717,909.055236,875.3061,934.875368,1000.578618,883.081482,972.536254,894.955925964218,973.348243418891,1030.58849219918,903.099163380965,872.247428965809,907.267421741091,891.340050418532,826.520354332486,683.091193418431,844.156994332592,959.486919934656,1084.71229422498,1043.85015282652,1185.26334641832,1018.97392081157,906.517900547986,983.282024932291,1070.31992780531,1031.53730586984,984.208919765556,864.214533385937,817.818688832184,967.898681386066,975.2093954505,994.855053784861,1034.73963083314,1032.70566374144,1014.62530322471,1144.82284066555,0
Producción Petroquimicos (Mt) (2),488.90161411,428.305416616,503.61959974,541.38077586,586.752729214,462.4202094,590.868740419,524.138680284,482.62478598,497.379944633,472.27458555,407.100661679,461.998300132,420.252630644,498.727416022,411.4423623,513.920661443,483.40075065,502.994781472,466.807450319,489.88919997,446.749757097,339.08179776,473.29487646,482.346755593,505.957643509,448.979946783,445.11851238,328.388793177,282.58805192,310.604052875,271.943232315,297.16311667,336.207230775,318.65841209,332.708324298,317.689796327,318.611897708,385.971960007,359.9555114,350.846513177,219.33991373,306.784645723,403.522392482,370.30305786,425.000483421,419.50753067,220.044563195,247.654460767,341.674169848,408.829460178,336.84640626,313.31083286,246.78218868,359.490451125,358.364490109,278.64789352,355.504036712,359.09651457,199.544344621,371.070383234,265.521577212,308.797306749,373.66272174,299.307577154,286.07466123,302.185504407,237.614983247,220.58143338,256.468808888,254.03131507,281.241454297,277.649685191,273.979441878,384.009970408,321.76103178,278.42534525,288.11277543,311.586294058,306.970307938,289.72533238,298.109290669,298.99055043,338.235179874,355.570875781,329.9130522,350.482987575,327.10036779,247.672150202,335.04604371,N/D
Producción Naftas (Mt),148.523005446841,136.427253428059,153.026690411984,150.084467380733,147.748830630049,137.974918862323,153.950237223244,137.89499309873,133.09403370977,128.593021278917,123.170759703673,125.432250966101,131.701397321566,122.956878911728,150.311951883347,138.680411923269,143.60692846202,144.534200511637,134.367305100482,138.907923785372,144.376530320468,140.434004703552,137.548355793732,132.681362156707,143.43774671275,130.159704315331,139.206437657676,123.823515758525,134.793678349362,134.010633861888,140.237021577521,143.645857621721,132.440396424859,121.072905015904,115.272835512039,115.165702539197,108.934735820682,102.008699582427,101.547377131168,114.134203561086,117.253659242459,104.540843637327,116.575669891272,110.320619823326,97.3304093264807,103.158762285548,102.756117349007,88.9876244004322,92.0228233534896,80.7506585554772,108.743837635929,111.60814646231,116.901324376858,102.672868149788,112.712606623345,116.577251121286,116.973348656345,108.602164686556,100.991754792123,88.1650297564797,110.644439950601,99.9783018361618,125.531822433605,122.579031216407,121.958844194419,113.40988335397,101.56827829629,92.6093150436428,98.2700709829222,101.152947358459,96.8987274883407,95.4595133725371,100.932890108806,91.386230181991,109.454615320071,94.5544296565692,102.627768152739,97.2706956506421,108.468904143843,103.652796399565,97.5005153598897,98.3662612205312,91.4450682481307,86.2951184260136,87.2073237746015,89.3908611715043,91.4785219044785,81.0428313889591,82.8376061389754,81.9175492532553,N/D
Producción Proceso de crudo,594.231345,544.263064,651.599803,766.871775,684.747974,662.478177,645.879472,669.607783,604.309382,485.477738,519.061325,510.603401,507.077599,601.423548,571.917571,570.434134,569.931194,645.209912,657.0557,658.905953,653.679612,511.359147,590.076402,570.890859,557.651361,464.0181,598.696234,669.931329,640.072915,584.035405,520.299514,616.486382,680.097228,588.756657,509.261325,652.703564,702.491323,710.329353,823.517456,646.821989,681.54718,667.65639,636.894973,657.404733,792.956114,742.391403,732.934468,744.08281,799.935005,846.329314,822.689492,888.89693,788.286985,711.757822,820.127902,820.00924,779.663962,808.759159,873.310575,832.356508,835.639323,802.949933,862.343263,914.836252,758.192896,806.719842,768.732336,796.609393,767.994076,608.242685,762.511713,822.87196,954.08504,935.254334,1061.917635,951.313226,842.216471,867.615243,947.79864,906.3622,862.95442,730.744307,692.331075,832.093017,891.172428,891.356141,911.915559,845.470327,810.337345,915.364653,N/D
Volumen Gas licuado (3),185.639302652218,180.585651213966,173.568258026067,159.273042003311,151.89405369085,162.43250125841,152.755820730439,156.361450814035,155.385535957761,159.871578597654,167.386788771885,164.173542288105,172.943681164675,182.291694500714,155.332909605239,144.57786984042,132.14218667494,131.782496579788,133.675428318154,142.61577432002,140.031416786282,150.018950939984,164.439485873158,169.714206219496,173.785531443119,177.839124391879,160.321273175583,119.77935400113,118.134874518406,128.744511504603,132.509834720534,136.720650758792,141.987485911302,144.561343357828,141.690024589224,168.84422853154,160.451699174892,153.709380540173,143.054282872444,135.746688155266,138.728037040458,145.036591623986,146.750049011327,149.978498897099,156.269500683197,145.442721453911,170.370546841341,179.565700519429,163.725692367717,171.60986616202,156.184630793447,137.544658529338,146.777412458238,144.653389398444,155.874527444174,157.364001635046,160.879977324948,167.068981702956,168.92915338785,182.234955396733,170.823496316232,159.148690869731,164.106493299001,151.91393139216,152.119097643903,155.154091774546,161.935304719204,160.985613284703,159.416080015701,169.059171318221,186.520058346241,203.916323765848,185.895946402642,194.059317594403,167.340099099601,153.112168965553,142.848715219675,149.95889443277,153.52091621711,160.703869090009,156.973206693357,155.30271726417,165.852187754155,184.149906768664,158.037862410331,153.228029707712,163.009844253092,148.15772065659,132.698221868213,133.781590174158,0
Volumen Pemex Magna,642.584264957432,659.454761801685,682.397168255374,642.791871870704,677.842650393035,672.635900163977,635.655093493182,647.480325611947,617.280932965705,624.885511907475,622.700909559919,628.932875457954,608.780566380846,612.045081765508,600.120915291281,626.377157191982,625.996325295213,612.604105857845,622.078017495007,610.627592946705,582.487189317747,592.278257212035,584.374759954165,611.689484189073,554.589716075874,555.934497845236,522.168486378354,373.89261358184,384.165749433753,403.997158693843,407.783658627088,393.399859052919,395.87544687242,408.457144946269,393.825145212772,428.593188776554,356.694535196034,372.112012792617,452.309522140567,442.77427910992,450.795088372466,457.115017282611,460.219666233364,442.628548679983,446.281439655673,465.089596377774,511.877093952695,555.321949630079,459.719302279085,497.655341860716,568.234989647765,574.227555162634,581.625990329536,591.422223314685,576.871266381567,556.634055414574,554.286981589772,532.403254109474,550.854172263894,547.866352280667,509.425222952226,523.53782880715,526.714913921329,504.605900568269,523.65501408374,543.592682379648,538.187663644438,546.039387572354,539.298244086004,529.771317233021,539.611393199604,549.612903588962,501.451783888581,519.588369234891,527.289699723968,533.749527861978,552.040447395023,528.470628570354,546.508642733037,542.611386725375,516.298463136337,510.962247487452,516.059529802028,510.121774411975,463.882790338324,479.819035801983,500.74726344194,540.81893762898,533.281487351607,508.652655982004,N/D
Volumen Pemex Premium,121.928084159392,117.225459595101,122.07558488014,115.718632448349,122.774209745456,120.329911554983,115.33917967029,118.492594380084,111.813600929716,114.09690457835,114.256268091192,116.09735564898,97.9702928867267,118.117113227447,122.74842192857,118.770671957211,115.036355530718,111.210164066753,112.604599377757,110.740428614795,105.592054041756,108.759419753936,109.841697982943,121.28502753718,112.071888754612,120.760355648559,121.654013583764,72.7682800625121,88.6937595108306,131.020006865489,149.435708892192,158.420639961876,164.284135293725,169.770356732527,165.387527171843,178.514977885406,149.575432769611,149.382643211028,136.555296150074,123.371849628326,118.903798039934,118.508264631132,115.4837274265,106.756955741078,105.639859116797,107.517495876893,119.767231824835,129.47844602431,105.368877771406,109.444742402114,124.961372823622,125.582960564463,127.28933574258,129.56157510746,123.517444380966,123.879529491044,120.624683100527,115.166330404899,120.797703414945,124.609552684133,115.424641150405,117.528588022368,119.656458463585,115.198978795292,120.673484488299,123.526606639578,119.586305367523,123.093368928458,120.666179705386,120.29613441415,128.861964737064,137.459355150854,129.398635228709,133.745069322225,132.753559638064,135.89015779577,144.30865210981,142.122803263859,142.367774674133,145.222328433604,142.503549389256,147.948839508073,152.428101391743,157.715649402631,146.550849405886,152.112868179416,150.077795666219,161.486946113395,161.062386304906,152.438928252063,N/D
